,pb206_pb204,pb207_pb204
425,18.75228571,15.66971429
426,18.752,15.671
427,18.705,15.667
428,18.715,15.669
429,18.707,15.668
430,18.909,15.633
504,18.156,15.4906
605,19.294,15.5915
606,19.3399,15.5895
665,17.864,15.447
666,18.521,15.52
668,19.398,15.658
677,19.684,15.59
690,19.228,15.597
692,19.327,15.576
763,19.94,15.72
845,18.895,15.605
846,18.799,15.676
858,18.606,15.608
859,19.094,15.642
865,19.524,15.638
866,19.694,15.658
867,19.104,15.636
869,19.2,15.63
870,19.79,15.64
874,19.0,15.66
880,19.4,15.63
883,18.8,15.62
888,19.32,15.67
891,19.44,15.58
893,19.51,15.61
931,18.609,15.61
941,18.9,15.667
942,19.286,15.624
943,19.4,15.625
944,18.939,15.661
945,18.539,15.619
946,19.22,15.65
947,19.21,15.61
1024,18.851,15.648
1026,18.873,15.654
1027,18.891,15.669
1048,18.917,15.669
1080,19.34,15.64
1081,19.46,15.673
1094,19.412,15.667
1096,19.5,15.65
1115,19.663,15.687
1121,19.398,15.686
1181,19.33,15.62
1269,19.102,15.731
1483,19.498,15.659
1507,19.528,15.656
1512,19.59,15.692
1670,16.885,15.192
1672,17.029,15.15475
1673,17.6788,15.317
1674,16.239,15.119
1675,15.912375,15.010875
1680,16.213375,15.002375
1681,16.198,15.009
1693,15.6624,14.9332
1694,16.2874,15.0384
1695,16.308,15.024
1696,16.50642857,15.10185714
1700,14.906,14.837
1710,14.995,14.818
1713,18.874,15.731
1714,19.46528571,15.877
1796,15.415,14.949
1797,14.643,14.822
1806,18.678,15.55
1824,19.054,15.543
1849,18.733,15.564
1856,18.753,15.549
1864,18.869,15.505
1888,18.94,15.432
1893,18.777,15.501
1916,18.678,15.519
1954,18.706,15.379
1961,19.028,15.507
1968,18.876,15.523
2002,18.344,15.526
2012,18.591,15.525
2025,18.827,15.557
2069,18.726,15.538
2070,18.697,15.55
2071,18.703,15.528
2073,18.716,15.528
2074,18.873,15.561
2077,18.873,15.561
2079,18.234,15.493
2084,18.661,15.54
2092,18.93,15.589
2093,18.938,15.584
2094,18.924,15.622
2097,18.881,15.583
2098,18.922,15.59
2101,18.924,15.622
2104,18.900875,15.602625
2106,18.923,15.579
2107,18.908,15.591
2207,18.75,15.54
2216,18.817,15.551
2217,18.834,15.549
2219,18.804,15.559
2228,18.943,15.636
2246,18.861,15.568
2247,18.707,15.526
2248,18.749,15.559
2249,18.885,15.557
2250,18.779,15.555
2251,18.981,15.593
2265,18.718,15.539
2274,18.873,15.582
2294,18.732,15.523
2308,18.7323,15.5228
2312,18.769,15.552
2313,18.789,15.544
2314,18.778,15.525
2315,18.766,15.541
2316,18.866,15.573
2321,18.854,15.555
2325,18.087,15.419
2326,18.096,15.424
2330,18.296,15.454
2332,18.337,15.448
2333,18.196,15.426
2334,18.3,15.458
2335,18.364,15.46
2336,18.263,15.402
2338,18.337,15.452
2340,18.245,15.408
2341,18.235,15.416
2353,18.5662,15.5177
2360,18.5583,15.511
2364,18.4771,15.4983
2372,18.4816,15.4993
2373,18.5668,15.5203
2381,18.5199,15.5056
2382,18.4928,15.5001
2520,17.363,15.104
2522,17.234,15.05
2523,17.334,15.09
2527,15.383,14.736
2529,15.968,14.823
2531,15.678,14.755
2532,17.11,15.043
2535,16.897,14.945
2555,16.331,15.227
2560,16.374,15.312
2705,19.1324,15.6208
2706,19.1149,15.6166
2707,19.0636,15.6067
2708,19.0736,15.6219
2709,19.0738,15.6074
2710,19.0702,15.6198
2717,18.554,15.586
2719,19.139,15.618
2726,18.6854,15.5824
2728,18.651,15.558
2729,18.689,15.555
2730,18.766,15.567
2731,18.705,15.559
2732,18.713,15.573
2733,18.621,15.57
2734,18.694,15.56
2735,18.692,15.557
2736,18.679,15.552
2737,18.684,15.549
2852,18.89616667,15.67383333
2878,18.808,15.6214
2879,18.8957,15.6739
2896,18.759,15.718
2899,19.325,15.66
2900,19.257,15.64
3198,19.0179,15.6154
3205,19.1304,15.5946
3208,19.0315,15.6162
3227,18.8727,15.6357
3292,18.8319,15.6057
3299,18.9893,15.5936
3302,18.9476,15.628
3313,18.8303,15.6849
3320,18.9463,15.6301
3331,19.0163,15.667
3337,18.8679,15.5934
3368,18.808,15.725
3373,18.759,15.718
3381,18.817,15.698
3384,19.325,15.66
3399,19.176,15.683
3410,19.257,15.64
3444,19.0359,15.6628
3450,18.9888,15.6657
3479,18.9001,15.6362
3480,18.8842,15.6392
3483,18.8645,15.658
3493,18.60305,15.62532
3494,18.71716,15.63225
3498,18.58548,15.61542
3500,18.71149,15.62422
3577,18.871,15.661
3718,18.958,15.673
3727,19.138,15.672
3732,18.967,15.694
3746,19.108,15.737
3748,18.87,15.688
3751,18.687,15.698
3763,18.943,15.715
3766,18.988,15.68
3788,18.93525,15.7046
3847,18.953,15.721
3878,18.458,15.582
3883,18.672,15.599
3913,18.6816,15.59654
3919,18.564,15.581
3921,18.44,15.53
4002,18.7046,15.6146
4004,18.9354,15.6251
4006,19.0079,15.6302
4008,18.9484,15.6248
4016,19.0135,15.6287
4018,19.0476,15.6311
4022,18.9248,15.6126
4023,19.1137,15.6521
4025,19.0247,15.6172
4026,19.1182,15.6325
4027,19.0396,15.618
4063,18.582,15.594
4101,18.906,15.621
4103,18.78,15.638
4115,18.95,15.64
4140,19.207,15.701
4150,19.02,15.67
4151,18.96,15.65
4156,18.91,15.67
4157,18.88,15.66
4204,18.06,15.62
4205,18.0,15.57
4227,18.434,15.614
4228,18.438,15.609
4230,18.55,15.6
4231,19.069,15.621
4305,18.588,15.649
4306,18.52,15.62
4307,18.49,15.59
4330,19.09,15.635
4332,19.09,15.635
4460,19.0482466,15.61873148
4521,18.695,15.634
4524,18.767,15.623
4526,18.856,15.656
4668,18.453,15.588
4686,18.364,15.582
4694,18.55,15.58
4703,19.208,15.635
4704,19.208,15.615
4714,18.488,15.59
4717,18.563,15.607
4723,18.656,15.608
4724,18.482,15.594
4726,18.558,15.569
4730,18.379,15.583
4732,18.322,15.579
4742,18.574,15.613
4753,18.64,15.616
4780,18.525,15.58
4781,18.509,15.561
4783,18.57,15.64
4784,18.197,15.607
4786,18.584,15.611
4788,18.612,15.597
4789,18.373,15.567
4803,19.142,15.641
4804,18.92,15.655
4812,18.57,15.64
4822,18.297,15.6
4830,18.28,15.592
4848,18.323,15.609
4866,18.148,15.574
4871,18.308,15.599
4950,18.471,15.557
4957,18.453,15.59
4960,18.303,15.574
4966,18.267,15.538
4967,18.361,15.596
4969,18.383,15.586
4982,18.46,15.624
4983,18.433,15.598
4984,18.592,15.601
4985,18.3,15.629
4999,18.853,15.622
5002,18.714,15.632
5003,18.647,15.625
5015,18.686,15.611
5019,18.395,15.609
5021,18.282,15.596
5050,18.97,15.652
5051,18.945,15.637
5052,18.942,15.641
5105,19.17,15.659
5106,19.158,15.643
5107,18.871,15.631
5109,18.932,15.641
5113,18.922,15.649
5118,18.965,15.648
5121,18.79,15.596
5123,18.939,15.636
5124,19.015,15.655
5126,18.41519968,15.58331485
5127,18.52787289,15.58202332
