,sr87_sr86,nd143_nd144
9,0.7052,0.512554
12,0.70517,0.512661
13,0.70501,0.512694
34,0.703871,0.512919
39,0.705267,0.512626
58,0.70335,0.513059
63,0.70335,0.513014
64,0.70338,0.513029
120,0.70508,0.51267
125,0.7055,0.51265
128,0.70386,0.51267
129,0.70448,0.51262
131,0.70514,0.51264
132,0.70521,0.51264
133,0.70524,0.51264
140,0.70608,0.512472
141,0.70592,0.51255
142,0.70584,0.512553
143,0.70803,0.512343
145,0.70796,0.512333
146,0.70683,0.512488
147,0.7079,0.512329
160,0.70511,0.512747
170,0.70526,0.512698
196,0.70476,0.512667
211,0.70478,0.512653
212,0.70481,0.512685
269,0.7034,0.513032
274,0.70388,0.513058
276,0.70353,0.513009
279,0.70409,0.512948
297,0.70653,0.512528
298,0.7065,0.512568
299,0.70609,0.512615
300,0.70403,0.512772
301,0.70392,0.512801
302,0.70385,0.512791
319,0.70342,0.513012
327,0.70454,0.512979
331,0.70488,0.512884
332,0.70461,0.512881
336,0.7045,0.512971
337,0.70462,0.512981
340,0.70378,0.51302
341,0.70435,0.51295
344,0.70469,0.513023
345,0.70448,0.513037
346,0.70468,0.513025
347,0.70471,0.512962
348,0.70407,0.51301
349,0.70405,0.513032
350,0.704,0.513032
354,0.70439,0.512857
355,0.70498,0.512971
356,0.70521,0.512954
360,0.7051,0.513024
364,0.70679,0.51268
365,0.70521,0.512974
369,0.70581,0.512739
373,0.703312,0.512904
425,0.707574857,0.512554143
426,0.70773,0.51256
427,0.708454,0.512448
428,0.708405,0.51245
429,0.708462,0.512463
430,0.703767,0.512897
504,0.702834,0.513052
605,0.702862,0.512997
606,0.702853,0.513007
665,0.704222,0.513184
666,0.703689,0.513055
668,0.70354,0.512847
676,0.703937,0.512722
677,0.703894,0.512738
682,0.703671,0.512712
690,0.703347,0.51288
692,0.702948,0.513092
694,0.703249,0.512911
729,0.704213,0.51325
730,0.704993,0.513241
748,0.70638,0.51193
763,0.70344,0.51289
845,0.70592,0.51244
846,0.71333,0.51222
858,0.703458,0.512972
859,0.703292286,0.513084429
865,0.70351,0.512967
866,0.703252714,0.512985714
867,0.703314,0.512994
869,0.70325,0.51286
870,0.70327,0.51292
871,0.70329,0.51293
874,0.70351,0.51279
880,0.7033,0.51298
883,0.7037,0.51289
888,0.7032,0.51294
891,0.70315,0.51294
893,0.70333,0.51293
931,0.703297,0.513027429
939,0.70332,0.512942
940,0.703192,0.512817
941,0.703941714,0.512836
942,0.703247,0.512961
943,0.703232,0.512953
944,0.703778,0.512864
945,0.703514,0.512984
946,0.70368,0.51288
947,0.70332,0.5129
963,0.705097,0.512754
964,0.705089,0.512717
1024,0.704112,0.512843
1026,0.704544,0.512788
1027,0.704345,0.512826
1048,0.70445,0.512841
1080,0.70458,0.512722
1081,0.70429,0.512757
1094,0.70473,0.512666
1096,0.70445,0.512733
1115,0.704195,0.512787
1121,0.704097,0.512791
1158,0.706184,0.512548
1159,0.706872,0.512498
1161,0.706833,0.512498
1163,0.706186,0.512548
1164,0.706372,0.512538
1165,0.705413,0.512622
1168,0.706692,0.512508
1169,0.706697,0.512508
1176,0.70619,0.5125
1181,0.70378,0.512849
1210,0.706156,0.512564
1213,0.706154,0.512559
1223,0.706152,0.512562
1233,0.70615,0.512564
1236,0.706156,0.512564
1238,0.706154,0.512558
1239,0.70616,0.512558
1241,0.706146,0.512567
1242,0.706149,0.512561
1269,0.70621,0.512571
1412,0.7061595,0.51255
1413,0.7061575,0.512549
1414,0.706228,0.512546
1415,0.706153,0.512557
1417,0.706154,0.512547
1419,0.706158,0.512549
1461,0.70654,0.512493
1463,0.70616,0.512556
1465,0.7061,0.51257
1469,0.706173,0.512564
1471,0.706137,0.512562
1472,0.706116,0.512564
1473,0.706169,0.512551
1483,0.704491,0.512676
1486,0.704668,0.512601
1491,0.704187,0.512636
1492,0.70429,0.512703
1494,0.704238,0.512707
1507,0.704257,0.512696
1513,0.70445,0.512752
1806,0.7032,0.513
1824,0.705491,0.512852
1856,0.703077,0.512971
1864,0.702995,0.513051
1888,0.702704,0.513071
1893,0.702941,0.513068
1916,0.702931,0.513026
1954,0.703035,0.513038
1961,0.702763,0.513073
2002,0.70336,0.512215
2012,0.70323,0.512911
2025,0.70348,0.513001
2069,0.703045,0.513032
2070,0.703087,0.513026
2071,0.703053,0.513006
2073,0.703061,0.513021
2074,0.703364,0.512916
2077,0.70336,0.512916
2079,0.703881,0.512978
2084,0.703256,0.513033
2092,0.7037,0.512971
2093,0.703703,0.512989
2094,0.703625,0.512979
