,labelSrNd
9,3
12,3
13,3
34,4
39,3
58,4
63,4
64,4
120,3
125,3
128,4
129,3
131,3
132,3
133,3
140,2
141,2
142,2
143,2
145,2
146,2
147,2
160,3
170,3
196,3
211,3
212,3
269,4
274,4
276,4
279,4
297,2
298,2
299,2
300,4
301,4
302,4
319,4
327,3
331,3
332,3
336,3
337,3
340,4
341,3
344,3
345,3
346,3
347,3
348,4
349,4
350,4
354,3
355,3
356,3
360,3
364,2
365,3
369,3
373,4
425,2
426,2
427,2
428,2
429,2
430,4
504,1
605,1
606,1
665,4
666,4
668,4
676,4
677,4
682,4
690,4
692,1
694,4
729,4
730,3
748,2
763,4
845,2
846,2
858,4
859,4
865,4
866,4
867,4
869,4
870,4
871,4
874,4
880,4
883,4
888,1
891,1
893,4
931,4
939,4
940,1
941,4
942,4
943,4
944,4
945,4
946,4
947,4
963,3
964,3
1024,4
1026,3
1027,3
1048,3
1080,3
1081,3
1094,3
1096,3
1115,3
1121,4
1158,2
1159,2
1161,2
1163,2
1164,2
1165,3
1168,2
1169,2
1176,2
1181,4
1210,2
1213,2
1223,2
1233,2
1236,2
1238,2
1239,2
1241,2
1242,2
1269,2
1412,2
1413,2
1414,2
1415,2
1417,2
1419,2
1461,2
1463,2
1465,2
1469,2
1471,2
1472,2
1473,2
1483,3
1486,3
1491,3
1492,3
1494,3
1507,3
1513,3
1806,1
1824,3
1856,1
1864,1
1888,1
1893,1
1916,1
1954,1
1961,1
2002,4
2012,4
2025,4
2069,1
2070,1
2071,1
2073,1
2074,4
2077,4
2079,4
2084,4
2092,4
2093,4
2094,4
2097,4
2098,4
2101,4
2104,4
2106,4
2107,4
2207,3
2246,1
2247,1
2248,4
2249,1
2250,4
2251,4
2265,1
2274,4
2294,1
2308,1
2312,1
2313,1
2315,1
2316,1
2321,4
2325,1
2326,1
2330,4
2332,1
2334,4
2335,4
2336,1
2338,4
2340,4
2410,3
2411,2
2413,2
2416,3
2448,2
2451,2
2452,2
2705,4
2706,4
2707,4
2708,4
2709,4
2710,4
2717,3
2719,4
2726,4
2728,4
2729,4
2730,4
2731,4
2732,4
2733,4
2734,4
2735,4
2736,4
2737,4
2752,3
2797,4
2834,3
2836,4
2840,4
2845,3
2851,3
2852,3
2853,3
2860,4
2863,3
2869,3
2871,3
2873,4
2878,4
2879,3
2880,4
2896,3
2898,3
2899,4
2900,4
2950,3
3014,4
3015,4
3033,3
3035,3
3043,2
3044,2
3045,2
3046,2
3047,2
3048,2
3051,2
3052,2
3053,2
3054,2
3055,2
3057,2
3058,2
3061,2
3062,2
3063,2
3064,2
3065,2
3066,2
3069,2
3070,2
3071,2
3073,2
3074,2
3189,3
3191,4
3195,4
3198,4
3205,4
3208,4
3225,4
3226,4
3227,3
3234,4
3239,3
3247,4
3258,3
3284,3
3287,4
3290,4
3292,4
3299,4
3302,4
3313,2
3320,3
3331,4
3337,4
3368,3
3373,3
3374,3
3384,4
3399,4
3401,4
3402,3
3410,4
3422,3
3430,4
3431,4
3432,4
3434,2
3444,4
3450,3
3453,3
3454,3
3460,2
3479,3
3480,3
3483,3
3493,2
3494,3
3498,2
3500,3
3503,3
3507,3
3508,3
3577,3
3586,3
3587,3
3590,3
3591,4
3593,4
3597,3
3599,2
3601,2
3604,4
3611,4
3612,4
3616,1
3617,4
3619,4
3624,4
3648,2
