,labelSrNd
9,2
12,2
13,2
34,2
39,2
58,4
63,4
64,4
120,2
125,2
128,2
129,2
131,2
132,2
133,2
140,2
141,2
142,2
143,2
145,2
146,2
147,2
160,2
170,2
196,3
211,3
212,3
269,4
274,2
276,4
279,2
297,2
298,2
299,2
300,2
301,2
302,2
319,4
327,2
331,2
332,2
336,2
337,2
340,2
341,2
344,2
345,2
346,2
347,2
348,2
349,2
350,2
354,2
355,2
356,2
360,2
364,2
365,2
369,2
373,1
425,2
426,2
427,2
428,2
429,2
430,2
504,1
605,1
606,1
665,2
666,0
668,4
676,2
677,2
682,2
690,4
692,1
694,1
729,2
730,2
748,2
763,4
845,2
846,2
858,4
859,0
865,4
866,1
867,4
869,1
870,1
871,1
874,0
880,1
883,2
888,1
891,1
893,4
931,0
939,4
940,1
941,2
942,1
943,1
944,2
945,4
946,2
947,1
963,2
964,2
1024,2
1026,2
1027,2
1048,2
1080,3
1081,2
1094,3
1096,2
1115,2
1121,2
1158,2
1159,2
1161,2
1163,2
1164,2
1165,2
1168,2
1169,2
1176,2
1181,2
1210,2
1213,2
1223,2
1233,2
1236,2
1238,2
1239,2
1241,2
1242,2
1269,2
1412,2
1413,2
1414,2
1415,2
1417,2
1419,2
1461,2
1463,2
1465,2
1469,2
1471,2
1472,2
1473,2
1483,2
1486,3
1491,2
1492,2
1494,2
1507,2
1513,2
1806,1
1824,2
1856,1
1864,1
1888,0
1893,1
1916,1
1954,1
1961,1
2002,0
2012,1
2025,4
2069,1
2070,1
2071,1
2073,1
2074,4
2077,4
2079,2
2084,1
2092,2
2093,0
2094,0
2097,0
2098,0
2101,0
2104,0
2106,0
2107,0
2207,2
2246,1
2247,1
2248,0
2249,1
2250,1
2251,4
2265,1
2274,4
2294,1
2308,1
2312,1
2313,1
2315,1
2316,1
2321,4
2325,0
2326,0
2330,0
2332,1
2334,0
2335,0
2336,1
2338,0
2340,0
2410,3
2411,2
2413,2
2416,3
2448,0
2451,0
2452,0
2705,2
2706,2
2707,2
2708,2
2709,2
2710,2
2717,2
2719,2
2726,0
2728,0
2729,2
2730,0
2731,0
2732,2
2733,2
2734,2
2735,2
2736,2
2737,2
2752,2
2797,1
2834,3
2836,2
2840,2
2845,2
2851,3
2852,3
2853,2
2860,4
2863,3
2869,3
2871,3
2873,2
2878,2
2879,2
2880,2
2896,2
2898,3
2899,2
2900,4
2950,2
3014,0
3015,2
3033,2
3035,2
3043,0
3044,0
3045,0
3046,0
3047,0
3048,0
3051,0
3052,0
3053,0
3054,0
3055,0
3057,2
3058,0
3061,0
3062,0
3063,0
3064,0
3065,0
3066,0
3069,2
3070,0
3071,0
3073,0
3074,0
3189,2
3191,2
3195,2
3198,4
3205,4
3208,2
3225,1
3226,1
3227,2
3234,4
3239,2
3247,2
3258,2
3284,2
3287,4
3290,2
3292,2
3299,2
3302,2
3313,2
3320,2
3331,2
3337,2
3368,2
3373,2
3374,3
3384,2
3399,0
3401,0
3402,3
3410,4
3422,2
3430,4
3431,4
3432,4
3434,2
3444,2
3450,2
3453,2
3454,2
3460,2
3479,2
3480,2
3483,2
3493,2
3494,2
3498,2
3500,3
3503,2
3507,3
3508,2
3577,2
3586,2
3587,2
3590,2
3591,4
3593,2
3597,2
3599,2
3601,2
3604,4
3611,4
3612,1
3616,1
3617,1
3619,4
3624,4
3648,2
3675,2
3676,2
3677,2
3678,2
3702,4
3717,2
3718,2
3726,2
3727,2
3729,2
3732,2
3739,2
3746,2
3748,2
3751,2
3763,2
3766,2
3767,2
3774,2
3775,2
3782,1
3783,4
3784,1
3788,0
3795,2
3807,2
3808,2
3814,2
3816,2
3825,2
3836,2
3837,2
3838,2
3839,2
3847,2
3849,2
3856,2
3857,2
3863,2
3865,2
3878,2
3883,2
3890,3
3891,3
3893,2
3897,2
3898,2
3899,2
3913,2
3919,2
3921,2
3924,3
3925,2
3926,3
3927,2
3928,3
3929,2
3930,3
3971,2
3972,2
3974,2
3976,2
3983,2
3985,2
4002,2
4004,2
4006,2
4008,2
4015,3
4016,2
4018,2
4022,2
4023,3
4025,2
4026,2
4027,2
4029,2
4063,0
4064,0
4073,1
4082,1
4083,1
4100,2
4101,2
4115,2
4140,2
4150,2
4151,2
4156,2
4157,2
4174,2
4175,2
4179,2
4180,2
4194,0
4196,1
4201,2
4204,2
4205,2
4208,3
4211,2
4227,2
4228,2
4230,2
4231,2
4245,3
4246,2
4247,2
4256,2
4257,2
4258,2
4259,2
4260,2
4261,2
4263,2
4265,2
4284,2
4286,0
4287,2
4298,0
4299,2
4305,2
4306,2
4307,2
4313,2
4318,2
4319,3
4321,2
4323,2
4327,2
4329,2
4330,2
4332,2
4341,2
4349,2
4386,2
4387,2
4388,2
4389,2
4390,2
4412,2
4419,0
4420,2
4421,2
4440,2
4444,2
4446,2
4458,2
4459,2
4460,2
4473,0
4474,1
4475,1
4476,0
4498,2
4502,2
4503,2
4504,2
4505,2
4506,2
4509,2
4511,2
4521,2
4524,2
4526,2
4527,2
4539,2
4586,0
4588,1
4592,0
4648,2
4661,2
4667,2
4668,2
4669,2
4676,4
4678,2
4686,2
4694,2
4696,0
4697,2
4698,0
4699,0
4701,2
4702,2
4703,1
4704,1
4706,3
4707,2
4714,2
4717,2
4721,2
4723,2
4724,2
4726,2
4730,2
4732,3
4742,2
4748,4
4753,2
4772,4
4779,4
4780,1
4781,1
4783,2
4784,3
4786,2
4787,2
4788,2
4789,2
4792,2
4800,2
4803,1
4812,2
4813,2
4817,2
4822,2
4828,2
4830,2
4844,3
4847,2
4848,2
4866,3
4868,3
4871,2
4880,1
4881,1
4882,4
4883,4
4884,1
4885,2
4886,2
4887,2
4888,0
4889,2
4891,2
4892,2
4893,1
4908,1
4913,1
4936,1
4939,1
4941,1
4942,1
4943,1
4950,2
4952,3
4957,3
4960,2
4966,2
4967,2
4969,2
4973,2
4982,2
4983,2
4984,2
4985,2
4999,2
5001,2
5002,2
5003,2
5004,2
5005,2
5015,2
5019,2
5022,2
5023,2
5024,2
5025,2
5028,2
5030,2
5037,2
5050,1
5051,1
5052,1
5053,2
5054,2
5055,2
5105,1
5106,4
5107,4
5109,4
5113,1
5118,4
5121,4
5123,4
5124,4
5126,2
5127,2
5128,2
5129,2
5130,2
5131,2
5132,2
5133,2
5134,2
5135,2
5136,2
5137,0
5138,2
5139,2
5140,2
5141,2
5142,2
5143,2
5144,2
5145,2
5146,2
5163,2
5182,4
5199,2
5280,2
5281,2
5282,2
5283,2
5288,2
5295,2
5298,2
5303,2
5307,2
5322,2
5323,2
5324,3
5325,2
5326,2
5327,2
5328,2
5329,2
5348,2
5349,2
5351,1
5352,2
5354,2
5358,4
5359,2
5361,2
5368,2
5374,2
5375,2
5392,2
5400,2
5403,2
5409,2
5441,2
5442,2
5444,2
5445,2
5446,2
5449,2
5487,2
5508,2
5516,2
5517,4
5518,2
5523,2
5528,4
5533,2
5548,2
5550,2
5551,2
5552,2
5555,2
5564,2
5570,2
5572,2
5573,2
5592,2
5593,2
5600,2
5601,2
5614,2
5624,0
5645,2
5648,2
5649,2
5650,2
5651,2
5652,2
5653,2
5654,2
5655,2
5657,2
5658,2
5662,2
5664,2
5665,2
5666,2
5679,2
5692,2
5706,2
5707,2
5708,2
5709,2
5710,2
5717,2
5718,2
5719,2
5720,2
5721,2
5724,2
5727,2
5737,2
5744,2
5745,2
5752,2
5758,0
5759,4
5764,2
5765,2
5766,2
5771,2
5777,2
5778,0
5798,2
5799,2
5801,2
5802,2
5803,2
5804,2
5807,2
5811,2
5812,2
5813,2
5835,2
5836,2
5837,2
5840,2
5842,2
5843,2
5846,2
5857,2
5893,2
5899,2
5913,2
5914,2
5920,2
5923,2
5924,2
5925,2
5926,2
5930,2
5932,2
5938,2
5939,2
5940,2
5941,2
5942,2
5943,2
5944,2
5945,2
5946,2
5947,2
5948,2
5949,2
5950,2
5951,2
5955,2
5961,2
5964,0
5967,2
5972,2
5974,2
5999,0
6000,0
6003,0
6004,0
6016,2
6017,2
6018,2
6022,2
6023,2
6024,2
6025,2
6026,2
6027,2
6028,3
6029,2
6030,2
6031,2
6032,2
6033,2
6034,2
6035,2
6036,3
6037,2
6039,2
6040,2
6043,2
6046,4
6048,2
6049,2
6051,0
6052,2
6053,2
6061,2
6093,0
6094,0
6095,2
6096,2
6097,2
6098,2
6099,2
6100,0
6101,2
6102,0
6108,2
6198,2
6201,2
6202,2
6203,2
6204,2
6205,2
6207,2
6243,2
6249,2
6250,2
6251,2
6253,2
6281,2
6328,2
6366,2
6379,2
6380,2
6382,2
6386,2
6388,2
6392,2
6393,2
6398,2
6426,2
6436,2
6440,2
6441,2
6444,2
6445,2
6453,2
6454,2
6455,2
6464,2
6479,2
6480,2
6484,2
6487,2
6499,2
6501,2
6503,2
6516,2
6517,2
6518,2
6542,3
6543,2
6544,2
6545,2
6546,1
6547,1
6548,2
6550,2
6551,4
6552,2
6566,2
6567,4
6568,2
6569,4
6575,2
6578,2
6579,2
6580,2
6582,1
6585,1
6587,1
6594,0
6598,2
6600,4
6605,4
6618,1
6619,2
6620,0
6629,1
6630,1
6631,1
6634,0
6639,2
7357,2
7360,2
7361,2
7415,2
7416,2
7417,2
7418,2
7419,2
7420,2
7421,2
7422,2
7423,2
7424,1
7425,2
7426,0
7427,4
7428,1
7429,1
7430,1
7431,0
7432,1
7467,1
7478,1
7530,1
7544,1
7551,4
7558,1
7569,1
7570,1
7573,1
7575,1
7580,1
7602,1
7607,1
7624,1
7625,2
7626,1
7627,2
7631,4
7633,4
7636,4
7640,4
7641,4
7654,0
7660,0
7662,1
7664,2
7665,2
7667,1
7672,1
7674,2
7675,4
7677,4
7678,4
7679,4
7682,0
7684,1
7723,4
7777,1
7789,4
7791,0
7873,1
7874,1
7875,0
7876,1
7877,1
7878,0
7879,0
7880,0
7881,2
7882,4
7883,0
7884,0
7885,0
7886,0
7887,1
7888,0
7889,1
7890,0
7891,0
7892,0
7893,0
7894,1
7895,0
7898,1
7899,1
7900,1
7901,1
7902,1
7903,1
7904,1
7905,1
7906,1
7907,1
7908,1
7909,1
7910,0
7911,1
7912,1
7913,0
7914,1
7915,1
7916,0
7917,1
7918,1
7919,1
7920,2
7921,1
7922,0
7923,1
7924,0
7934,0
7935,1
7936,1
7937,1
7938,1
7939,4
7940,2
7986,1
7990,1
7997,1
8000,1
8001,1
8030,1
8043,1
8046,4
8047,4
8052,0
8066,4
8067,4
8076,2
8085,2
8088,2
8092,3
8093,3
8094,2
8095,2
8097,3
8098,2
8100,3
8173,2
8175,4
8176,4
8177,4
8178,4
8181,0
8184,4
8188,1
8190,0
8192,4
8194,2
8195,2
8196,4
8197,4
8200,1
8203,4
8204,1
8206,4
8224,0
8225,0
8226,0
8244,4
8245,1
8246,4
8247,4
8248,1
8249,1
8250,1
8251,1
8252,2
8253,1
8254,1
8255,1
8256,1
8257,1
8278,1
8279,1
8288,0
8291,1
8295,1
8296,0
8297,1
8298,0
8299,2
8326,0
8472,2
8474,0
8477,1
8493,2
8494,2
8495,2
8500,2
8534,0
8535,1
8536,2
8537,0
8539,1
8540,1
8545,1
8547,4
8548,0
8550,0
8584,2
8638,2
8641,0
8642,0
8643,0
8644,0
8646,0
8649,0
8650,0
8652,0
8653,0
8655,0
8656,0
8657,0
8658,0
8660,0
8828,2
9027,0
9028,1
9042,2
9043,1
9044,2
9045,1
9048,1
9049,0
9050,4
9051,1
9052,2
9053,0
9054,2
9055,4
9056,0
9057,0
9058,2
9059,2
9060,1
9061,1
9062,1
9063,1
9064,1
9065,1
9066,2
9067,1
9068,0
9069,1
9070,1
9155,4
9173,1
9267,1
9268,1
9269,1
9270,1
9271,1
9272,1
9273,1
9274,1
9275,1
9276,1
9288,1
9289,1
9290,0
9291,1
9301,1
9302,1
9303,1
9304,1
9305,1
9306,1
9307,1
9308,1
9309,1
9310,1
9311,1
9312,1
9313,1
9314,1
9315,1
9316,1
9317,1
9318,1
9319,1
9320,1
9330,1
9341,1
9345,2
9351,2
9377,2
9378,2
9395,1
9396,1
9397,1
9398,1
9399,1
9400,1
9407,1
9409,1
9412,1
9416,1
9418,1
9421,1
9423,1
9424,1
9426,1
9428,1
9430,1
9454,1
9488,1
9489,1
9490,1
9491,1
9492,1
9507,1
9508,1
9509,1
9510,1
9529,1
9530,1
9531,1
9532,1
9533,2
9534,0
9535,0
9536,0
9537,0
9538,0
9539,1
9610,2
9611,2
9612,2
9613,2
9616,2
9619,2
9620,2
9621,3
9622,2
9623,2
9624,2
9625,2
9626,0
9627,2
9628,3
9631,2
9632,2
9742,1
9743,1
9744,2
9746,2
9749,3
9753,3
9761,2
9763,2
9764,2
9765,2
9779,4
9780,2
9782,2
9783,2
9784,4
9794,0
9795,1
9796,0
9797,0
9799,0
9800,4
9801,2
9802,4
9803,2
9804,2
9819,2
9822,2
9825,2
9835,3
9836,2
9837,2
9838,3
9839,3
9840,2
9841,2
9842,2
9843,2
9844,2
9847,4
9851,4
9852,4
9853,4
9858,1
