,labelPb,labelSrNd
425,5.0,2.0
426,5.0,2.0
427,5.0,2.0
428,5.0,2.0
429,5.0,2.0
430,5.0,4.0
504,3.0,1.0
605,5.0,1.0
606,5.0,1.0
665,3.0,4.0
666,4.0,4.0
668,5.0,4.0
677,5.0,4.0
690,5.0,4.0
692,5.0,1.0
763,5.0,4.0
845,5.0,2.0
846,5.0,2.0
858,4.0,4.0
859,5.0,4.0
865,5.0,4.0
866,5.0,4.0
867,5.0,4.0
869,5.0,4.0
870,5.0,4.0
874,5.0,4.0
880,5.0,4.0
883,5.0,4.0
888,5.0,1.0
891,5.0,1.0
893,5.0,4.0
931,4.0,4.0
941,5.0,4.0
942,5.0,4.0
943,5.0,4.0
944,5.0,4.0
945,4.0,4.0
946,5.0,4.0
947,5.0,4.0
1024,5.0,4.0
1026,5.0,3.0
1027,5.0,3.0
1048,5.0,3.0
1080,5.0,3.0
1081,5.0,3.0
1094,5.0,3.0
1096,5.0,3.0
1115,5.0,3.0
1121,5.0,4.0
1181,5.0,4.0
1269,5.0,2.0
1483,5.0,3.0
1507,5.0,3.0
1512,5.0,
1670,2.0,
1672,2.0,
1673,3.0,
1674,0.0,
1675,0.0,
1680,0.0,
1681,0.0,
1693,0.0,
1694,0.0,
1695,0.0,
1696,0.0,
1700,0.0,
1710,0.0,
1713,5.0,
1714,5.0,
1796,0.0,
1797,0.0,
1806,4.0,1.0
1824,5.0,3.0
1849,4.0,
1856,5.0,1.0
1864,5.0,1.0
1888,5.0,1.0
1893,5.0,1.0
1916,4.0,1.0
1954,4.0,1.0
1961,5.0,1.0
1968,5.0,
2002,4.0,4.0
2012,4.0,4.0
2025,5.0,4.0
2069,4.0,1.0
2070,4.0,1.0
2071,4.0,1.0
2073,4.0,1.0
2074,5.0,4.0
2077,5.0,4.0
2079,4.0,4.0
2084,4.0,4.0
2092,5.0,4.0
2093,5.0,4.0
2094,5.0,4.0
2097,5.0,4.0
2098,5.0,4.0
2101,5.0,4.0
2104,5.0,4.0
2106,5.0,4.0
2107,5.0,4.0
2207,4.0,3.0
2216,5.0,
2217,5.0,
2219,5.0,
2228,5.0,
2246,5.0,1.0
2247,4.0,1.0
2248,5.0,4.0
2249,5.0,1.0
2250,5.0,4.0
2251,5.0,4.0
2265,4.0,1.0
2274,5.0,4.0
2294,4.0,1.0
2308,4.0,1.0
2312,5.0,1.0
2313,5.0,1.0
2314,5.0,
2315,5.0,1.0
2316,5.0,1.0
2321,5.0,4.0
2325,3.0,1.0
2326,3.0,1.0
2330,4.0,4.0
2332,4.0,1.0
2333,4.0,
2334,4.0,4.0
2335,4.0,4.0
2336,4.0,1.0
2338,4.0,4.0
2340,4.0,4.0
2341,4.0,
2353,4.0,
2360,4.0,
2364,4.0,
2372,4.0,
2373,4.0,
2381,4.0,
2382,4.0,
2520,2.0,
2522,2.0,
2523,2.0,
2527,0.0,
2529,0.0,
2531,0.0,
2532,2.0,
2535,0.0,
2555,0.0,
2560,0.0,
2705,5.0,4.0
2706,5.0,4.0
2707,5.0,4.0
2708,5.0,4.0
2709,5.0,4.0
2710,5.0,4.0
2717,4.0,3.0
2719,5.0,4.0
2726,4.0,4.0
2728,4.0,4.0
2729,4.0,4.0
2730,5.0,4.0
2731,4.0,4.0
2732,4.0,4.0
2733,4.0,4.0
2734,4.0,4.0
2735,4.0,4.0
2736,4.0,4.0
2737,4.0,4.0
2852,5.0,3.0
2878,5.0,4.0
2879,5.0,3.0
2896,5.0,3.0
2899,5.0,4.0
2900,5.0,4.0
3198,5.0,4.0
3205,5.0,4.0
3208,5.0,4.0
3227,5.0,3.0
3292,5.0,4.0
3299,5.0,4.0
3302,5.0,4.0
3313,5.0,2.0
3320,5.0,3.0
3331,5.0,4.0
3337,5.0,4.0
3368,5.0,3.0
3373,5.0,3.0
3381,5.0,
3384,5.0,4.0
3399,5.0,4.0
3410,5.0,4.0
3444,5.0,4.0
3450,5.0,3.0
3479,5.0,3.0
3480,5.0,3.0
