0,pb206_pb204,pb207_pb204,1,sr87_sr86,nd143_nd144
5.0,18.75228571,15.66971429,2.0,0.707574857,0.512554143
5.0,18.752,15.671,2.0,0.70773,0.51256
5.0,18.705,15.667,2.0,0.708454,0.512448
5.0,18.715,15.669,2.0,0.708405,0.51245
5.0,18.707,15.668,2.0,0.708462,0.512463
5.0,18.909,15.633,4.0,0.703767,0.512897
3.0,18.156,15.4906,1.0,0.702834,0.513052
5.0,19.294,15.5915,1.0,0.702862,0.512997
5.0,19.3399,15.5895,1.0,0.702853,0.513007
3.0,17.864,15.447,4.0,0.704222,0.513184
4.0,18.521,15.52,4.0,0.703689,0.513055
5.0,19.398,15.658,4.0,0.70354,0.512847
5.0,19.684,15.59,4.0,0.703894,0.512738
5.0,19.228,15.597,4.0,0.703347,0.51288
5.0,19.327,15.576,1.0,0.702948,0.513092
5.0,19.94,15.72,4.0,0.70344,0.51289
5.0,18.895,15.605,2.0,0.70592,0.51244
5.0,18.799,15.676,2.0,0.71333,0.51222
4.0,18.606,15.608,4.0,0.703458,0.512972
5.0,19.094,15.642,4.0,0.703292286,0.513084429
5.0,19.524,15.638,4.0,0.70351,0.512967
5.0,19.694,15.658,4.0,0.703252714,0.512985714
5.0,19.104,15.636,4.0,0.703314,0.512994
5.0,19.2,15.63,4.0,0.70325,0.51286
5.0,19.79,15.64,4.0,0.70327,0.51292
5.0,19.0,15.66,4.0,0.70351,0.51279
5.0,19.4,15.63,4.0,0.7033,0.51298
5.0,18.8,15.62,4.0,0.7037,0.51289
5.0,19.32,15.67,1.0,0.7032,0.51294
5.0,19.44,15.58,1.0,0.70315,0.51294
5.0,19.51,15.61,4.0,0.70333,0.51293
4.0,18.609,15.61,4.0,0.703297,0.513027429
5.0,18.9,15.667,4.0,0.703941714,0.512836
5.0,19.286,15.624,4.0,0.703247,0.512961
5.0,19.4,15.625,4.0,0.703232,0.512953
5.0,18.939,15.661,4.0,0.703778,0.512864
4.0,18.539,15.619,4.0,0.703514,0.512984
5.0,19.22,15.65,4.0,0.70368,0.51288
5.0,19.21,15.61,4.0,0.70332,0.5129
5.0,18.851,15.648,4.0,0.704112,0.512843
5.0,18.873,15.654,3.0,0.704544,0.512788
5.0,18.891,15.669,3.0,0.704345,0.512826
5.0,18.917,15.669,3.0,0.70445,0.512841
5.0,19.34,15.64,3.0,0.70458,0.512722
5.0,19.46,15.673,3.0,0.70429,0.512757
5.0,19.412,15.667,3.0,0.70473,0.512666
5.0,19.5,15.65,3.0,0.70445,0.512733
5.0,19.663,15.687,3.0,0.704195,0.512787
5.0,19.398,15.686,4.0,0.704097,0.512791
5.0,19.33,15.62,4.0,0.70378,0.512849
5.0,19.102,15.731,2.0,0.70621,0.512571
5.0,19.498,15.659,3.0,0.704491,0.512676
5.0,19.528,15.656,3.0,0.704257,0.512696
5.0,19.59,15.692,,,
2.0,16.885,15.192,,,
2.0,17.029,15.15475,,,
3.0,17.6788,15.317,,,
0.0,16.239,15.119,,,
0.0,15.912375,15.010875,,,
0.0,16.213375,15.002375,,,
0.0,16.198,15.009,,,
0.0,15.6624,14.9332,,,
0.0,16.2874,15.0384,,,
0.0,16.308,15.024,,,
0.0,16.50642857,15.10185714,,,
0.0,14.906,14.837,,,
0.0,14.995,14.818,,,
5.0,18.874,15.731,,,
5.0,19.46528571,15.877,,,
0.0,15.415,14.949,,,
0.0,14.643,14.822,,,
4.0,18.678,15.55,1.0,0.7032,0.513
5.0,19.054,15.543,3.0,0.705491,0.512852
4.0,18.733,15.564,,,
5.0,18.753,15.549,1.0,0.703077,0.512971
5.0,18.869,15.505,1.0,0.702995,0.513051
5.0,18.94,15.432,1.0,0.702704,0.513071
5.0,18.777,15.501,1.0,0.702941,0.513068
4.0,18.678,15.519,1.0,0.702931,0.513026
4.0,18.706,15.379,1.0,0.703035,0.513038
5.0,19.028,15.507,1.0,0.702763,0.513073
5.0,18.876,15.523,,,
4.0,18.344,15.526,4.0,0.70336,0.512215
4.0,18.591,15.525,4.0,0.70323,0.512911
