,labelPb,labelSrNd
4784,3.0,3.0
4866,3.0,3.0
4957,3.0,3.0
5324,3.0,3.0
5528,4.0,4.0
5759,4.0,4.0
6630,1.0,1.0
6631,1.0,1.0
7424,1.0,1.0
7428,1.0,1.0
7429,1.0,1.0
7430,1.0,1.0
7875,0.0,0.0
7878,0.0,0.0
7883,0.0,0.0
7890,0.0,0.0
7891,1.0,1.0
7908,1.0,1.0
7911,1.0,1.0
7912,1.0,1.0
7915,1.0,1.0
7916,1.0,1.0
7917,1.0,1.0
7918,1.0,1.0
7921,1.0,1.0
7923,1.0,1.0
7938,1.0,1.0
7939,4.0,4.0
8175,4.0,4.0
8206,4.0,4.0
8249,1.0,1.0
8253,1.0,1.0
8254,1.0,1.0
8255,1.0,1.0
8256,1.0,1.0
8257,1.0,1.0
8643,0.0,0.0
8644,0.0,0.0
8646,0.0,0.0
8650,0.0,0.0
8652,0.0,0.0
8658,0.0,0.0
8660,0.0,0.0
9064,1.0,1.0
9267,1.0,1.0
9268,1.0,1.0
9269,1.0,1.0
9270,1.0,1.0
9271,1.0,1.0
9272,1.0,1.0
9273,1.0,1.0
9274,1.0,1.0
9275,1.0,1.0
9276,1.0,1.0
9291,1.0,1.0
9304,1.0,1.0
9306,1.0,1.0
9307,1.0,1.0
9309,1.0,1.0
9314,1.0,1.0
9395,1.0,1.0
9396,1.0,1.0
9397,1.0,1.0
9398,1.0,1.0
9399,1.0,1.0
9400,1.0,1.0
9407,1.0,1.0
9409,1.0,1.0
9412,1.0,1.0
9416,1.0,1.0
9418,1.0,1.0
9421,1.0,1.0
9423,1.0,1.0
9424,1.0,1.0
9426,1.0,1.0
9428,1.0,1.0
9454,1.0,1.0
9490,1.0,1.0
9491,1.0,1.0
9492,1.0,1.0
9508,1.0,1.0
9509,1.0,1.0
9510,1.0,1.0
9531,1.0,1.0
9539,1.0,1.0
9749,3.0,3.0
9802,4.0,4.0
9880,3.0,3.0
10999,0.0,0.0
11000,0.0,0.0
14529,3.0,3.0
14732,3.0,3.0
16625,4.0,4.0
16760,3.0,3.0
16870,4.0,4.0
17049,4.0,4.0
17051,4.0,4.0
18096,1.0,1.0
